Spiel;Genre;Minispiel;"Geforderte Skills"
;;;
Minecraft;Sandbox;Angeln;Motorik
The Witcher 3;Action-Adventure;Gwint;Strategie
The Witcher 3;Action-Adventure;Pferderennen;Strategie
The Witcher 3;Action-Adventure;Faustkampf;Strategie, Motorik
RDR 2;Action-Adventure;Poker;Strategie, Logik
RDR 2;Action-Adventure;Domino;Strategie, Logik
RDR 2;Action-Adventure;Blackjack;Strategie, Logik
RDR 2;Action-Adventure;Five Finger Fillet;Motorik, Gedächtnis
RDR 2;Action-Adventure;Angeln;Motorik
Silent Hill 2;Survival Horror;Coin Puzzle;Logik
Silent Hill 2;Survival Horror;Zahlenkombnation;Logik
Silent Hill 2;Survival Horror;Armband Puzzle;Logik
Silent Hill 2;Survival Horror;X-Ray Puzzle;Logik
Silent Hill 2;Survival Horror;Bücher Puzzle;Logik
Silent Hill 2;Survival Horror;Generator Puzzle;Logik
Silent Hill 2;Survival Horror;Gewichte Puzzle;Logik
Silent Hill 2;Survival Horror;Galgen Puzzle;Logik
Silent Hill 2;Survival Horror;Spiegel Rätsel;Logik
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Logik
Genshin Impact;Open World RPG;Angeln;Motorik
Genshin Impact;Open World RPG;Genius Invokation TCG;Strategie, Logik
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Timing, Motorik, Multitasking
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Motorik
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Motorik
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Motorik, Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Motorik, Timing
